j0; j1; j2; cos(j0); cos(j1); cos(j2); sin(j0); sin(j1); sin(j2); ee_x; ee_y; ee_qw; ee_qz
 2.005;  1.428;  1.266; -0.420;  0.142;  0.300;  0.907;  0.990;  0.954; -0.139; -0.048; -0.702;  0.712
 2.000;  1.375;  1.077; -0.416;  0.194;  0.474;  0.910;  0.981;  0.881; -0.167; -0.038; -0.609;  0.793
 2.049;  1.287;  0.897; -0.460;  0.280;  0.624;  0.888;  0.960;  0.781; -0.195; -0.028; -0.519;  0.855
 2.116;  1.131;  0.736; -0.519;  0.426;  0.741;  0.855;  0.905;  0.671; -0.225; -0.007; -0.409;  0.913
 2.178;  0.938;  0.546; -0.571;  0.591;  0.855;  0.821;  0.807;  0.519; -0.252;  0.030; -0.257;  0.966
 2.219;  0.717;  0.311; -0.604;  0.754;  0.952;  0.797;  0.657;  0.306; -0.268;  0.088; -0.053;  0.999
 2.223;  0.483;  0.052; -0.607;  0.886;  0.999;  0.795;  0.464;  0.052; -0.253;  0.163;  0.190;  0.982
 2.189;  0.231; -0.208; -0.579;  0.973;  0.978;  0.815;  0.229; -0.206; -0.199;  0.236;  0.449;  0.894
 2.145; -0.025; -0.473; -0.543;  1.000;  0.890;  0.840; -0.025; -0.455; -0.115;  0.279;  0.680;  0.733
 2.130; -0.273; -0.721; -0.531;  0.963;  0.751;  0.847; -0.270; -0.660; -0.035;  0.280;  0.843;  0.538
 2.104; -0.516; -0.942; -0.509;  0.870;  0.588;  0.861; -0.493; -0.809;  0.035;  0.252;  0.948;  0.318
 2.056; -0.722; -1.183; -0.467;  0.751;  0.379;  0.884; -0.661; -0.926;  0.085;  0.202;  0.997;  0.076
 2.036; -0.920; -1.429; -0.448;  0.606;  0.142;  0.894; -0.795; -0.990;  0.104;  0.145;  0.988; -0.156
 2.009; -1.142; -1.678; -0.424;  0.416; -0.107;  0.906; -0.909; -0.994;  0.098;  0.087;  0.919; -0.394
 1.926; -1.399; -1.880; -0.348;  0.171; -0.304;  0.937; -0.985; -0.953;  0.074;  0.036;  0.777; -0.630
 1.818; -1.642; -1.883; -0.244; -0.071; -0.307;  0.970; -0.997; -0.952;  0.059;  0.005;  0.656; -0.755
 1.736; -1.833; -1.851; -0.164; -0.259; -0.276;  0.986; -0.966; -0.961;  0.043; -0.013;  0.562; -0.827
 1.676; -1.877; -1.792; -0.105; -0.301; -0.219;  0.994; -0.954; -0.976;  0.042; -0.021;  0.542; -0.840
 1.627; -1.848; -1.671; -0.056; -0.274; -0.100;  0.998; -0.962; -0.995;  0.057; -0.026;  0.585; -0.811
 1.581; -1.785; -1.487; -0.010; -0.213;  0.084;  1.000; -0.977; -0.996;  0.084; -0.029;  0.663; -0.748
 1.505; -1.672; -1.288;  0.066; -0.101;  0.279;  0.998; -0.995; -0.960;  0.118; -0.026;  0.747; -0.665
 1.419; -1.521; -1.088;  0.152;  0.050;  0.464;  0.988; -0.999; -0.886;  0.155; -0.014;  0.828; -0.561
 1.357; -1.345; -0.907;  0.212;  0.224;  0.616;  0.977; -0.975; -0.788;  0.190;  0.013;  0.902; -0.432
 1.303; -1.152; -0.786;  0.265;  0.407;  0.707;  0.964; -0.913; -0.707;  0.214;  0.046;  0.950; -0.312
 1.216; -0.942; -0.695;  0.347;  0.588;  0.768;  0.938; -0.809; -0.640;  0.231;  0.076;  0.978; -0.209
 1.077; -0.743; -0.570;  0.474;  0.736;  0.842;  0.881; -0.677; -0.540;  0.249;  0.095;  0.993; -0.118
 0.925; -0.554; -0.385;  0.601;  0.850;  0.927;  0.799; -0.526; -0.376;  0.263;  0.115;  1.000; -0.007
 0.775; -0.319; -0.199;  0.715;  0.950;  0.980;  0.699; -0.313; -0.197;  0.268;  0.142;  0.992;  0.128
 0.592; -0.047; -0.038;  0.830;  0.999;  0.999;  0.558; -0.047; -0.038;  0.265;  0.161;  0.968;  0.251
 0.426;  0.255;  0.087;  0.911;  0.968;  0.996;  0.413;  0.252;  0.087;  0.248;  0.181;  0.927;  0.374
 0.316;  0.615;  0.149;  0.950;  0.817;  0.989;  0.311;  0.577;  0.149;  0.207;  0.208;  0.858;  0.514
 0.218;  0.967;  0.185;  0.976;  0.567;  0.983;  0.216;  0.823;  0.184;  0.157;  0.222;  0.774;  0.633
 0.090;  1.286;  0.260;  0.996;  0.281;  0.966;  0.090;  0.960;  0.257;  0.112;  0.217;  0.684;  0.730
-0.039;  1.599;  0.347;  0.999; -0.028;  0.940; -0.039;  1.000;  0.340;  0.065;  0.200;  0.579;  0.816
-0.119;  1.878;  0.382;  0.993; -0.303;  0.928; -0.119;  0.953;  0.373;  0.030;  0.182;  0.501;  0.866
-0.145;  1.904;  0.402;  0.989; -0.327;  0.920; -0.145;  0.945;  0.391;  0.018;  0.175;  0.469;  0.883
-0.171;  1.858;  0.463;  0.985; -0.283;  0.895; -0.170;  0.959;  0.447;  0.027;  0.174;  0.476;  0.880
-0.173;  1.811;  0.575;  0.985; -0.238;  0.839; -0.173;  0.971;  0.544;  0.026;  0.171;  0.448;  0.894
-0.173;  1.790;  0.748;  0.985; -0.217;  0.733; -0.172;  0.976;  0.680;  0.015;  0.160;  0.379;  0.926
-0.202;  1.805;  0.955;  0.980; -0.232;  0.578; -0.201;  0.973;  0.816;  0.002;  0.140;  0.286;  0.958
-0.208;  1.814;  1.180;  0.978; -0.241;  0.381; -0.206;  0.971;  0.925; -0.009;  0.118;  0.177;  0.984
-0.229;  1.780;  1.396;  0.974; -0.208;  0.174; -0.227;  0.978;  0.985; -0.009;  0.099;  0.097;  0.995
-0.291;  1.713;  1.600;  0.958; -0.142; -0.029; -0.287;  0.990;  1.000;  0.001;  0.083;  0.060;  0.998
-0.324;  1.624;  1.844;  0.948; -0.053; -0.270; -0.318;  0.999;  0.963;  0.012;  0.064; -0.001;  1.000
-0.285;  1.548;  1.912;  0.960;  0.023; -0.335; -0.281;  1.000;  0.942;  0.016;  0.063; -0.019;  1.000
-0.209;  1.487;  1.877;  0.978;  0.083; -0.301; -0.208;  0.997;  0.954;  0.017;  0.073; -0.007;  1.000
-0.147;  1.417;  1.841;  0.989;  0.153; -0.267; -0.147;  0.988;  0.964;  0.019;  0.084;  0.016;  1.000
-0.078;  1.374;  1.774;  0.997;  0.196; -0.202; -0.078;  0.981;  0.979;  0.017;  0.096;  0.036;  0.999
 0.010;  1.337;  1.665;  1.000;  0.232; -0.094;  0.010;  0.973;  0.996;  0.013;  0.113;  0.065;  0.998
 0.122;  1.264;  1.517;  0.993;  0.302;  0.054;  0.121;  0.953;  0.999;  0.011;  0.136;  0.119;  0.993
 0.259;  1.206;  1.317;  0.967;  0.357;  0.251;  0.256;  0.934;  0.968;  0.004;  0.164;  0.179;  0.984
 0.397;  1.198;  1.135;  0.922;  0.364;  0.422;  0.387;  0.931;  0.906; -0.011;  0.183;  0.204;  0.979
 0.496;  1.242;  1.016;  0.880;  0.323;  0.526;  0.476;  0.946;  0.850; -0.030;  0.188;  0.193;  0.981
 0.549;  1.293;  0.966;  0.853;  0.274;  0.569;  0.522;  0.962;  0.822; -0.045;  0.185;  0.166;  0.986
 0.606;  1.347;  0.920;  0.822;  0.222;  0.606;  0.570;  0.975;  0.796; -0.061;  0.179;  0.134;  0.991
 0.670;  1.406;  0.828;  0.784;  0.164;  0.677;  0.621;  0.986;  0.736; -0.077;  0.176;  0.119;  0.993
 0.722;  1.405;  0.757;  0.751;  0.165;  0.727;  0.661;  0.986;  0.686; -0.084;  0.179;  0.129;  0.992
 0.747;  1.360;  0.698;  0.734;  0.209;  0.766;  0.680;  0.978;  0.643; -0.082;  0.190;  0.167;  0.986
 0.733;  1.289;  0.652;  0.743;  0.278;  0.795;  0.669;  0.960;  0.606; -0.068;  0.207;  0.232;  0.973
 0.666;  1.210;  0.632;  0.786;  0.353;  0.807;  0.618;  0.936;  0.590; -0.040;  0.222;  0.311;  0.950
 0.603;  1.180;  0.593;  0.824;  0.381;  0.829;  0.567;  0.925;  0.559; -0.018;  0.231;  0.373;  0.928
 0.581;  1.221;  0.546;  0.836;  0.342;  0.855;  0.549;  0.940;  0.519; -0.017;  0.231;  0.386;  0.922
 0.571;  1.317;  0.482;  0.841;  0.251;  0.886;  0.541;  0.968;  0.464; -0.026;  0.226;  0.376;  0.927
 0.579;  1.428;  0.429;  0.837;  0.142;  0.910;  0.547;  0.990;  0.416; -0.042;  0.217;  0.346;  0.938
 0.614;  1.550;  0.428;  0.817;  0.021;  0.910;  0.576;  1.000;  0.415; -0.068;  0.198;  0.271;  0.963
 0.630;  1.704;  0.490;  0.808; -0.133;  0.882;  0.589;  0.991;  0.470; -0.093;  0.166;  0.159;  0.987
 0.588;  1.850;  0.615;  0.832; -0.276;  0.817;  0.554;  0.961;  0.577; -0.101;  0.134;  0.056;  0.998
 0.497;  1.860;  0.729;  0.879; -0.286;  0.746;  0.477;  0.958;  0.666; -0.093;  0.124;  0.026;  1.000
 0.393;  1.838;  0.844;  0.924; -0.264;  0.664;  0.383;  0.964;  0.747; -0.079;  0.124;  0.033;  0.999
 0.321;  1.820;  1.006;  0.949; -0.247;  0.535;  0.315;  0.969;  0.845; -0.069;  0.115; -0.003;  1.000
 0.293;  1.811;  1.208;  0.958; -0.238;  0.355;  0.288;  0.971;  0.935; -0.063;  0.096; -0.085;  0.996
 0.326;  1.806;  1.456;  0.947; -0.233;  0.115;  0.321;  0.972;  0.993; -0.058;  0.069; -0.221;  0.975
 0.386;  1.804;  1.751;  0.927; -0.231; -0.179;  0.376;  0.973;  0.984; -0.042;  0.040; -0.389;  0.921
 0.447;  1.803;  1.903;  0.902; -0.231; -0.326;  0.432;  0.973;  0.945; -0.030;  0.027; -0.488;  0.873
 0.522;  1.803;  1.883;  0.867; -0.230; -0.307;  0.498;  0.973;  0.952; -0.035;  0.026; -0.509;  0.861
 0.566;  1.803;  1.848;  0.844; -0.230; -0.274;  0.536;  0.973;  0.962; -0.039;  0.027; -0.512;  0.859
 0.590;  1.801;  1.825;  0.831; -0.228; -0.252;  0.556;  0.974;  0.968; -0.042;  0.027; -0.512;  0.859
 0.666;  1.794;  1.772;  0.786; -0.221; -0.200;  0.618;  0.975;  0.980; -0.050;  0.027; -0.519;  0.855
 0.765;  1.757;  1.681;  0.721; -0.185; -0.110;  0.693;  0.983;  0.994; -0.063;  0.031; -0.506;  0.862
 0.855;  1.706;  1.568;  0.656; -0.135;  0.003;  0.755;  0.991;  1.000; -0.079;  0.038; -0.474;  0.880
 0.963;  1.693;  1.424;  0.571; -0.122;  0.146;  0.821;  0.993;  0.989; -0.096;  0.040; -0.452;  0.892
 1.069;  1.699;  1.266;  0.481; -0.128;  0.300;  0.877;  0.992;  0.954; -0.114;  0.039; -0.432;  0.902
 1.132;  1.672;  1.095;  0.425; -0.101;  0.458;  0.905;  0.995;  0.889; -0.132;  0.048; -0.369;  0.929
 1.170;  1.615;  0.921;  0.391; -0.044;  0.605;  0.921;  0.999;  0.796; -0.148;  0.068; -0.278;  0.960
 1.243;  1.562;  0.750;  0.322;  0.009;  0.732;  0.947;  1.000;  0.682; -0.163;  0.083; -0.205;  0.979
 1.319;  1.478;  0.596;  0.249;  0.093;  0.827;  0.968;  0.996;  0.562; -0.176;  0.103; -0.126;  0.992
 1.378;  1.362;  0.486;  0.192;  0.207;  0.884;  0.981;  0.978;  0.467; -0.183;  0.128; -0.042;  0.999
 1.449;  1.256;  0.396;  0.122;  0.309;  0.923;  0.993;  0.951;  0.385; -0.188;  0.146;  0.021;  1.000
 1.541;  1.158;  0.272;  0.029;  0.402;  0.963;  1.000;  0.916;  0.269; -0.196;  0.161;  0.085;  0.996
 1.666;  1.077;  0.118; -0.096;  0.474;  0.993;  0.995;  0.881;  0.118; -0.207;  0.169;  0.140;  0.990
 1.809;  1.023; -0.042; -0.235;  0.521;  0.999;  0.972;  0.854; -0.042; -0.222;  0.166;  0.175;  0.985
 1.938;  1.016; -0.226; -0.359;  0.526;  0.975;  0.933;  0.850; -0.224; -0.235;  0.156;  0.205;  0.979
 2.008;  1.020; -0.431; -0.423;  0.524;  0.909;  0.906;  0.852; -0.418; -0.236;  0.159;  0.269;  0.963
 2.002;  0.966; -0.641; -0.418;  0.568;  0.802;  0.908;  0.823; -0.598; -0.216;  0.188;  0.396;  0.918
 1.999;  0.901; -0.807; -0.415;  0.621;  0.692;  0.910;  0.784; -0.722; -0.193;  0.210;  0.501;  0.866
 2.019;  0.887; -0.955; -0.433;  0.632;  0.577;  0.901;  0.775; -0.817; -0.181;  0.216;  0.561;  0.828
 2.045;  0.914; -1.116; -0.456;  0.611;  0.440;  0.890;  0.792; -0.898; -0.174;  0.213;  0.605;  0.796
 2.063;  0.968; -1.262; -0.473;  0.567;  0.304;  0.881;  0.824; -0.953; -0.168;  0.207;  0.634;  0.774
 2.020;  1.031; -1.411; -0.435;  0.514;  0.159;  0.901;  0.858; -0.987; -0.151;  0.209;  0.682;  0.732
 1.909;  1.064; -1.587; -0.332;  0.486; -0.016;  0.943;  0.874; -1.000; -0.112;  0.219;  0.769;  0.639
 1.795;  1.074; -1.780; -0.222;  0.477; -0.208;  0.975;  0.879; -0.978; -0.068;  0.222;  0.855;  0.518
 1.697;  1.116; -1.867; -0.126;  0.439; -0.292;  0.992;  0.898; -0.956; -0.042;  0.220;  0.891;  0.453
 1.607;  1.151; -1.852; -0.036;  0.408; -0.278;  0.999;  0.913; -0.961; -0.028;  0.224;  0.900;  0.437
 1.545;  1.156; -1.828;  0.026;  0.403; -0.254;  1.000;  0.915; -0.967; -0.017;  0.227;  0.906;  0.423
 1.479;  1.185; -1.812;  0.092;  0.377; -0.239;  0.996;  0.926; -0.971; -0.007;  0.228;  0.911;  0.413
 1.418;  1.251; -1.806;  0.153;  0.314; -0.233;  0.988;  0.949; -0.972; -0.002;  0.228;  0.908;  0.418
 1.337;  1.351; -1.804;  0.231;  0.218; -0.231;  0.973;  0.976; -0.973;  0.003;  0.226;  0.904;  0.428
 1.227;  1.499; -1.769;  0.337;  0.072; -0.197;  0.942;  0.997; -0.980;  0.006;  0.224;  0.888;  0.460
 1.124;  1.655; -1.716;  0.432; -0.084; -0.144;  0.902;  0.996; -0.990;  0.003;  0.222;  0.862;  0.507
 1.018;  1.794; -1.701;  0.525; -0.221; -0.129;  0.851;  0.975; -0.992;  0.007;  0.216;  0.849;  0.528
 0.925;  1.856; -1.685;  0.602; -0.282; -0.114;  0.798;  0.959; -0.994;  0.016;  0.213;  0.853;  0.523
 0.857;  1.839; -1.656;  0.655; -0.265; -0.085;  0.756;  0.964; -0.996;  0.031;  0.214;  0.868;  0.496
 0.811;  1.801; -1.631;  0.689; -0.229; -0.060;  0.725;  0.974; -0.998;  0.044;  0.214;  0.882;  0.471
 0.816;  1.759; -1.630;  0.685; -0.187; -0.059;  0.729;  0.982; -0.998;  0.048;  0.216;  0.890;  0.455
 0.882;  1.719; -1.700;  0.636; -0.148; -0.128;  0.772;  0.989; -0.992;  0.046;  0.215;  0.900;  0.436
 0.967;  1.714; -1.818;  0.568; -0.142; -0.245;  0.823;  0.990; -0.970;  0.039;  0.210;  0.908;  0.418
 1.079;  1.732; -1.852;  0.472; -0.160; -0.278;  0.881;  0.987; -0.961;  0.016;  0.210;  0.888;  0.460
 1.189;  1.721; -1.836;  0.373; -0.150; -0.262;  0.928;  0.989; -0.965; -0.008;  0.212;  0.859;  0.511
 1.306;  1.683; -1.820;  0.262; -0.112; -0.247;  0.965;  0.994; -0.969; -0.030;  0.213;  0.834;  0.552
 1.496;  1.652; -1.811;  0.074; -0.081; -0.238;  0.997;  0.997; -0.971; -0.067;  0.206;  0.785;  0.620
 1.756;  1.609; -1.798; -0.184; -0.038; -0.225;  0.983;  0.999; -0.974; -0.115;  0.186;  0.709;  0.706
 2.080;  1.562; -1.769; -0.488;  0.009; -0.197;  0.873;  1.000; -0.980; -0.169;  0.144;  0.592;  0.806
 2.454;  1.540; -1.719; -0.772;  0.031; -0.148;  0.635;  1.000; -0.989; -0.214;  0.072;  0.420;  0.907
 2.854;  1.553; -1.671; -0.959;  0.018; -0.100;  0.284;  1.000; -0.995; -0.227; -0.024;  0.201;  0.980
 3.218;  1.605; -1.599; -0.997; -0.034; -0.028; -0.077;  0.999; -1.000; -0.204; -0.105; -0.013;  1.000
 3.260;  1.704; -1.479; -0.993; -0.133;  0.091; -0.118;  0.991; -0.996; -0.177; -0.147; -0.173;  0.985
 3.205;  1.836; -1.316; -0.998; -0.262;  0.252; -0.064;  0.965; -0.968; -0.163; -0.160; -0.276;  0.961
 3.141;  1.850; -1.134; -1.000; -0.275;  0.423;  0.000;  0.961; -0.906; -0.155; -0.168; -0.351;  0.936
 3.103;  1.832; -0.953; -0.999; -0.258;  0.579;  0.038;  0.966; -0.815; -0.151; -0.176; -0.408;  0.913
 3.067;  1.802; -0.775; -0.997; -0.230;  0.715;  0.075;  0.973; -0.699; -0.148; -0.181; -0.459;  0.889
 3.036;  1.742; -0.602; -0.994; -0.170;  0.824;  0.106;  0.985; -0.566; -0.149; -0.184; -0.494;  0.869
 2.983;  1.677; -0.411; -0.987; -0.106;  0.917;  0.158;  0.994; -0.400; -0.153; -0.182; -0.526;  0.851
 2.888;  1.632; -0.207; -0.968; -0.061;  0.979;  0.251;  0.998; -0.206; -0.159; -0.174; -0.553;  0.833
 2.806;  1.592; -0.008; -0.944; -0.021;  1.000;  0.330;  1.000; -0.008; -0.160; -0.166; -0.584;  0.812
 2.767;  1.514;  0.150; -0.930;  0.057;  0.989;  0.366;  0.998;  0.149; -0.166; -0.160; -0.601;  0.800
 2.712;  1.361;  0.254; -0.909;  0.208;  0.968;  0.416;  0.978;  0.251; -0.192; -0.141; -0.559;  0.829
 2.619;  1.205;  0.341; -0.866;  0.357;  0.942;  0.499;  0.934;  0.335; -0.221; -0.107; -0.490;  0.872
 2.533;  1.064;  0.465; -0.821;  0.485;  0.894;  0.571;  0.874;  0.448; -0.238; -0.074; -0.444;  0.896
 2.424;  0.924;  0.603; -0.754;  0.603;  0.823;  0.657;  0.798;  0.567; -0.249; -0.034; -0.394;  0.919
 2.286;  0.787;  0.703; -0.656;  0.706;  0.763;  0.755;  0.708;  0.647; -0.254;  0.017; -0.312;  0.950
 2.173;  0.599;  0.750; -0.567;  0.826;  0.732;  0.824;  0.564;  0.681; -0.252;  0.078; -0.189;  0.982
 2.117;  0.415;  0.772; -0.520;  0.915;  0.717;  0.854;  0.403;  0.698; -0.243;  0.125; -0.081;  0.997
 2.082;  0.246;  0.792; -0.489;  0.970;  0.702;  0.872;  0.244;  0.712; -0.228;  0.162;  0.011;  1.000
 1.999;  0.043;  0.796; -0.415;  0.999;  0.700;  0.910;  0.043;  0.714; -0.192;  0.213;  0.151;  0.988
 1.887; -0.155;  0.797; -0.311;  0.988;  0.699;  0.950; -0.155;  0.715; -0.137;  0.257;  0.302;  0.953
 1.744; -0.349;  0.760; -0.172;  0.940;  0.725;  0.985; -0.342;  0.689; -0.060;  0.289;  0.474;  0.881
 1.580; -0.595;  0.691; -0.010;  0.828;  0.770;  1.000; -0.560;  0.638;  0.043;  0.293;  0.669;  0.744
 1.414; -0.895;  0.645;  0.156;  0.626;  0.799;  0.988; -0.780;  0.601;  0.146;  0.250;  0.835;  0.550
 1.246; -1.238;  0.597;  0.319;  0.326;  0.827;  0.948; -0.945;  0.562;  0.222;  0.158;  0.955;  0.298
 1.070; -1.577;  0.499;  0.480; -0.006;  0.878;  0.877; -1.000;  0.479;  0.245;  0.038;  1.000; -0.004
 0.911; -1.849;  0.374;  0.613; -0.275;  0.931;  0.790; -0.962;  0.366;  0.220; -0.053;  0.967; -0.256
 0.755; -1.889;  0.283;  0.728; -0.313;  0.960;  0.685; -0.950;  0.280;  0.187; -0.105;  0.910; -0.414
 0.562; -1.858;  0.209;  0.846; -0.283;  0.978;  0.533; -0.959;  0.208;  0.163; -0.140;  0.856; -0.517
 0.381; -1.812;  0.159;  0.928; -0.239;  0.987;  0.372; -0.971;  0.158;  0.139; -0.167;  0.804; -0.594
 0.187; -1.775;  0.182;  0.982; -0.203;  0.983;  0.186; -0.979;  0.181;  0.115; -0.190;  0.763; -0.646
-0.040; -1.720;  0.214;  0.999; -0.148;  0.977; -0.040; -0.989;  0.212;  0.084; -0.212;  0.716; -0.698
-0.276; -1.660;  0.226;  0.962; -0.090;  0.975; -0.273; -0.996;  0.224;  0.045; -0.230;  0.656; -0.755
-0.476; -1.631;  0.231;  0.889; -0.060;  0.973; -0.458; -0.998;  0.229;  0.005; -0.237;  0.592; -0.806
-0.670; -1.573;  0.201;  0.784; -0.002;  0.980; -0.621; -1.000;  0.199; -0.034; -0.238;  0.523; -0.853
-0.875; -1.502;  0.130;  0.641;  0.069;  0.991; -0.768; -0.998;  0.130; -0.077; -0.232;  0.433; -0.902
-1.077; -1.471;  0.054;  0.474;  0.100;  0.999; -0.881; -0.995;  0.054; -0.123; -0.210;  0.318; -0.948
-1.285; -1.429; -0.019;  0.282;  0.142;  1.000; -0.959; -0.990; -0.019; -0.164; -0.181;  0.203; -0.979
-1.444; -1.367; -0.063;  0.126;  0.202;  0.998; -0.992; -0.979; -0.063; -0.188; -0.161;  0.133; -0.991
-1.605; -1.341; -0.066; -0.035;  0.227;  0.998; -0.999; -0.974; -0.066; -0.211; -0.133;  0.064; -0.998
-1.799; -1.371; -0.094; -0.227;  0.198;  0.996; -0.974; -0.980; -0.094; -0.232; -0.081; -0.061; -0.998
-2.006; -1.408; -0.154; -0.422;  0.162;  0.988; -0.907; -0.987; -0.154; -0.239; -0.018; -0.212; -0.977
-2.247; -1.444; -0.206; -0.626;  0.126;  0.979; -0.780; -0.992; -0.205; -0.228;  0.050; -0.369; -0.929
-2.498; -1.542; -0.240; -0.800;  0.029;  0.971; -0.600; -1.000; -0.238; -0.188;  0.118; -0.539; -0.842
-2.742; -1.676; -0.263; -0.921; -0.105;  0.966; -0.389; -0.994; -0.260; -0.125;  0.167; -0.696; -0.718
-2.963; -1.771; -0.281; -0.984; -0.199;  0.961; -0.177; -0.980; -0.277; -0.063;  0.187; -0.806; -0.592
-3.183; -1.829; -0.329; -0.999; -0.255;  0.946;  0.042; -0.967; -0.323; -0.005;  0.188; -0.892; -0.452
-3.246; -1.829; -0.385; -0.995; -0.256;  0.927;  0.104; -0.967; -0.376;  0.012;  0.184; -0.918; -0.397
-3.213; -1.799; -0.416; -0.997; -0.226;  0.915;  0.071; -0.974; -0.404;  0.002;  0.186; -0.910; -0.414
-3.180; -1.766; -0.412; -0.999; -0.194;  0.916;  0.039; -0.981; -0.401; -0.010;  0.189; -0.895; -0.446
-3.116; -1.791; -0.367; -1.000; -0.218;  0.933; -0.025; -0.976; -0.359; -0.022;  0.189; -0.875; -0.483
-2.983; -1.818; -0.330; -0.987; -0.245;  0.946; -0.158; -0.970; -0.324; -0.045;  0.184; -0.839; -0.544
-2.798; -1.815; -0.333; -0.942; -0.242;  0.945; -0.337; -0.970; -0.327; -0.079;  0.173; -0.785; -0.620
-2.621; -1.780; -0.373; -0.867; -0.208;  0.931; -0.498; -0.978; -0.365; -0.111;  0.155; -0.729; -0.685
-2.481; -1.748; -0.416; -0.789; -0.177;  0.915; -0.614; -0.984; -0.404; -0.133;  0.137; -0.683; -0.731
-2.364; -1.741; -0.465; -0.713; -0.169;  0.894; -0.701; -0.986; -0.448; -0.144;  0.121; -0.655; -0.756
-2.258; -1.717; -0.522; -0.635; -0.146;  0.867; -0.773; -0.989; -0.499; -0.154;  0.104; -0.627; -0.779
-2.126; -1.667; -0.567; -0.527; -0.096;  0.844; -0.850; -0.995; -0.537; -0.170;  0.079; -0.572; -0.820
-1.944; -1.608; -0.583; -0.365; -0.038;  0.835; -0.931; -0.999; -0.551; -0.188;  0.039; -0.477; -0.879
-1.722; -1.555; -0.574; -0.150;  0.016;  0.840; -0.989; -1.000; -0.543; -0.198; -0.014; -0.347; -0.938
-1.471; -1.529; -0.579;  0.099;  0.042;  0.837; -0.995; -0.999; -0.548; -0.189; -0.067; -0.217; -0.976
-1.248; -1.568; -0.590;  0.318;  0.002;  0.831; -0.948; -1.000; -0.557; -0.169; -0.098; -0.132; -0.991
-1.097; -1.679; -0.600;  0.456; -0.108;  0.826; -0.890; -0.994; -0.564; -0.155; -0.099; -0.116; -0.993
-0.984; -1.830; -0.594;  0.554; -0.257;  0.829; -0.832; -0.967; -0.560; -0.145; -0.087; -0.133; -0.991
-0.874; -1.869; -0.546;  0.642; -0.294;  0.855; -0.767; -0.956; -0.519; -0.137; -0.099; -0.076; -0.997
-0.763; -1.821; -0.491;  0.723; -0.248;  0.882; -0.691; -0.969; -0.472; -0.122; -0.129;  0.033; -0.999
-0.690; -1.710; -0.436;  0.771; -0.139;  0.906; -0.637; -0.990; -0.423; -0.102; -0.164;  0.152; -0.988
-0.657; -1.559; -0.361;  0.792;  0.012;  0.936; -0.610; -1.000; -0.353; -0.074; -0.200;  0.279; -0.960
-0.660; -1.426; -0.244;  0.790;  0.144;  0.970; -0.613; -0.990; -0.241; -0.046; -0.228;  0.394; -0.919
-0.665; -1.319; -0.108;  0.787;  0.249;  0.994; -0.617; -0.968; -0.108; -0.016; -0.249;  0.501; -0.865
-0.659; -1.230;  0.020;  0.791;  0.334;  1.000; -0.612; -0.942;  0.020;  0.016; -0.261;  0.595; -0.804
-0.649; -1.146;  0.177;  0.797;  0.413;  0.984; -0.604; -0.911;  0.176;  0.052; -0.268;  0.690; -0.724
-0.625; -1.078;  0.376;  0.811;  0.473;  0.930; -0.585; -0.881;  0.367;  0.094; -0.264;  0.788; -0.616
-0.623; -1.064;  0.629;  0.812;  0.485;  0.808; -0.583; -0.874;  0.589;  0.124; -0.253;  0.863; -0.505
-0.620; -1.068;  0.947;  0.814;  0.482;  0.584; -0.581; -0.876;  0.811;  0.151; -0.232;  0.932; -0.362
-0.605; -1.068;  1.311;  0.822;  0.481;  0.257; -0.569; -0.876;  0.966;  0.175; -0.195;  0.984; -0.180
-0.550; -1.032;  1.721;  0.852;  0.513; -0.149; -0.523; -0.859;  0.989;  0.193; -0.137;  0.998;  0.069
-0.464; -0.948;  1.932;  0.894;  0.583; -0.354; -0.448; -0.812;  0.935;  0.200; -0.088;  0.965;  0.262
-0.374; -0.838;  1.908;  0.931;  0.669; -0.331; -0.365; -0.744;  0.944;  0.212; -0.059;  0.940;  0.342
-0.253; -0.738;  1.855;  0.968;  0.740; -0.281; -0.250; -0.673;  0.960;  0.223; -0.025;  0.908;  0.419
-0.099; -0.681;  1.802;  0.995;  0.777; -0.229; -0.098; -0.630;  0.973;  0.228;  0.014;  0.872;  0.489
 0.065; -0.669;  1.722;  0.998;  0.784; -0.151;  0.065; -0.620;  0.989;  0.230;  0.049;  0.848;  0.531
 0.208; -0.710;  1.611;  0.978;  0.759; -0.041;  0.207; -0.651;  0.999;  0.234;  0.071;  0.850;  0.527
 0.353; -0.785;  1.492;  0.938;  0.707;  0.079;  0.345; -0.707;  0.997;  0.239;  0.089;  0.863;  0.505
 0.547; -0.902;  1.352;  0.854;  0.620;  0.217;  0.520; -0.785;  0.976;  0.239;  0.110;  0.878;  0.478
 0.752; -1.069;  1.173;  0.731;  0.481;  0.388;  0.683; -0.877;  0.922;  0.240;  0.120;  0.910;  0.415
 0.939; -1.219;  0.985;  0.590;  0.344;  0.553;  0.807; -0.939;  0.833;  0.239;  0.124;  0.939;  0.345
 1.164; -1.346;  0.837;  0.395;  0.223;  0.670;  0.919; -0.975;  0.743;  0.225;  0.141;  0.947;  0.322
 1.428; -1.446;  0.681;  0.143;  0.125;  0.777;  0.990; -0.992;  0.630;  0.201;  0.165;  0.946;  0.325
 1.699; -1.530;  0.532; -0.128;  0.041;  0.862;  0.992; -0.999;  0.507;  0.170;  0.187;  0.939;  0.344
