j0; j1; cos(j0); cos(j1); sin(j0); sin(j1); ee_x; ee_y; ee_qw; ee_qz
-2.678;  3.071; -0.894; -0.998; -0.447;  0.070;  0.012; -0.002;  0.980;  0.198
-2.741;  3.054; -0.921; -0.996; -0.390;  0.088;  0.013; -0.005;  0.988;  0.156
-2.789;  3.023; -0.938; -0.993; -0.346;  0.118;  0.013; -0.009;  0.993;  0.117
-2.807;  2.973; -0.944; -0.986; -0.329;  0.168;  0.014; -0.015;  0.997;  0.083
-2.792;  2.873; -0.940; -0.964; -0.342;  0.266;  0.016; -0.025;  0.999;  0.040
-2.706;  2.766; -0.907; -0.930; -0.422;  0.367;  0.019; -0.036;  1.000;  0.030
-2.618;  2.652; -0.866; -0.883; -0.500;  0.470;  0.023; -0.046;  1.000;  0.017
-2.571;  2.517; -0.841; -0.811; -0.540;  0.585;  0.026; -0.060;  1.000; -0.027
-2.509;  2.347; -0.807; -0.700; -0.591;  0.714;  0.028; -0.077;  0.997; -0.081
-2.450;  2.168; -0.770; -0.563; -0.638;  0.827;  0.029; -0.094;  0.990; -0.140
-2.445;  2.049; -0.767; -0.461; -0.641;  0.888;  0.025; -0.107;  0.980; -0.197
-2.489;  1.967; -0.794; -0.386; -0.607;  0.923;  0.016; -0.116;  0.966; -0.258
-2.539;  1.868; -0.824; -0.293; -0.567;  0.956;  0.004; -0.125;  0.944; -0.329
-2.580;  1.752; -0.846; -0.181; -0.532;  0.984; -0.010; -0.134;  0.916; -0.402
-2.596;  1.606; -0.855; -0.035; -0.519;  0.999; -0.025; -0.144;  0.880; -0.475
-2.568;  1.436; -0.840;  0.134; -0.543;  0.991; -0.037; -0.154;  0.844; -0.536
-2.553;  1.255; -0.832;  0.311; -0.555;  0.950; -0.054; -0.161;  0.797; -0.605
-2.556;  1.059; -0.833;  0.490; -0.553;  0.872; -0.075; -0.165;  0.733; -0.681
-2.563;  0.877; -0.837;  0.639; -0.547;  0.769; -0.096; -0.164;  0.665; -0.746
-2.555;  0.673; -0.833;  0.782; -0.553;  0.624; -0.117; -0.160;  0.589; -0.808
-2.500;  0.415; -0.801;  0.915; -0.598;  0.403; -0.134; -0.156;  0.504; -0.864
-2.414;  0.138; -0.747;  0.990; -0.665;  0.138; -0.146; -0.150;  0.419; -0.908
-2.355; -0.150; -0.706;  0.989; -0.708; -0.149; -0.159; -0.136;  0.313; -0.950
-2.325; -0.438; -0.684;  0.906; -0.729; -0.424; -0.171; -0.114;  0.189; -0.982
-2.248; -0.702; -0.627;  0.764; -0.779; -0.646; -0.171; -0.099;  0.096; -0.995
-2.154; -0.991; -0.550;  0.548; -0.835; -0.837; -0.165; -0.083; -0.002; -1.000
-2.107; -1.322; -0.511;  0.246; -0.859; -0.969; -0.157; -0.055; -0.143; -0.990
-2.095; -1.665; -0.501; -0.094; -0.866; -0.996; -0.140; -0.023; -0.304; -0.953
-2.096; -1.984; -0.502; -0.402; -0.865; -0.916; -0.115;  0.002; -0.453; -0.892
-2.070; -2.277; -0.479; -0.649; -0.878; -0.761; -0.087;  0.015; -0.567; -0.824
-2.013; -2.554; -0.427; -0.832; -0.904; -0.554; -0.059;  0.018; -0.654; -0.757
-1.922; -2.821; -0.344; -0.949; -0.939; -0.316; -0.031;  0.016; -0.718; -0.696
-1.783; -3.060; -0.210; -0.997; -0.978; -0.081; -0.011;  0.012; -0.739; -0.673
-1.630; -3.084; -0.059; -0.998; -0.998; -0.057; -0.005;  0.010; -0.709; -0.706
-1.463; -3.039;  0.108; -0.995; -0.994; -0.103; -0.012;  0.008; -0.629; -0.778
-1.282; -2.949;  0.285; -0.981; -0.959; -0.192; -0.022;  0.002; -0.518; -0.855
-1.068; -2.802;  0.482; -0.943; -0.876; -0.333; -0.034; -0.014; -0.356; -0.934
-0.803; -2.609;  0.695; -0.862; -0.719; -0.507; -0.037; -0.043; -0.135; -0.991
-0.520; -2.377;  0.868; -0.722; -0.497; -0.692; -0.020; -0.076;  0.122; -0.993
-0.202; -2.135;  0.980; -0.535; -0.201; -0.845;  0.022; -0.099;  0.391; -0.920
 0.166; -1.948;  0.986; -0.368;  0.166; -0.930;  0.076; -0.091;  0.629; -0.778
 0.550; -1.804;  0.852; -0.231;  0.523; -0.973;  0.120; -0.052;  0.810; -0.586
 0.928; -1.636;  0.599; -0.065;  0.800; -0.998;  0.143;  0.008;  0.938; -0.347
 1.264; -1.408;  0.302;  0.162;  0.953; -0.987;  0.139;  0.080;  0.997; -0.072
 1.559; -1.116;  0.012;  0.439;  1.000; -0.898;  0.101;  0.147;  0.976;  0.220
 1.849; -0.803; -0.275;  0.695;  0.962; -0.719;  0.028;  0.191;  0.866;  0.500
 2.120; -0.502; -0.522;  0.877;  0.853; -0.481; -0.057;  0.195;  0.690;  0.724
 2.393; -0.177; -0.733;  0.984;  0.681; -0.176; -0.139;  0.156;  0.446;  0.895
 2.694;  0.174; -0.901;  0.985;  0.433;  0.174; -0.196;  0.073;  0.136;  0.991
 3.013;  0.556; -0.992;  0.849;  0.128;  0.528; -0.199; -0.033; -0.212;  0.977
 3.269;  0.991; -0.992;  0.548; -0.127;  0.837; -0.146; -0.114; -0.536;  0.844
 3.261;  1.431; -0.993;  0.139; -0.119;  0.990; -0.101; -0.122; -0.701;  0.713
 3.207;  1.867; -0.998; -0.292; -0.066;  0.956; -0.061; -0.109; -0.823;  0.568
 3.151;  2.344; -1.000; -0.699; -0.010;  0.716; -0.022; -0.079; -0.923;  0.384
 3.108;  2.852; -0.999; -0.958;  0.034;  0.285;  0.004; -0.032; -0.987;  0.161
 3.088;  3.229; -0.999; -0.996;  0.053; -0.087;  0.010;  0.011; -1.000; -0.027
 3.110;  3.203; -1.000; -0.998;  0.031; -0.061;  0.010;  0.007; -1.000; -0.018
 3.147;  3.116; -1.000; -1.000; -0.006;  0.026;  0.010; -0.003; -1.000;  0.011
 3.152;  2.993; -1.000; -0.989; -0.010;  0.148;  0.009; -0.016; -0.998;  0.069
 3.114;  2.866; -1.000; -0.962;  0.028;  0.272;  0.005; -0.030; -0.989;  0.151
 3.050;  2.752; -0.996; -0.925;  0.092;  0.379; -0.002; -0.042; -0.971;  0.238
 3.005;  2.589; -0.991; -0.851;  0.137;  0.525; -0.014; -0.056; -0.941;  0.338
 3.002;  2.418; -0.990; -0.750;  0.139;  0.662; -0.028; -0.070; -0.908;  0.418
 2.994;  2.247; -0.989; -0.626;  0.147;  0.780; -0.043; -0.080; -0.867;  0.498
 2.967;  2.061; -0.985; -0.471;  0.174;  0.882; -0.064; -0.087; -0.809;  0.587
 2.950;  1.891; -0.982; -0.315;  0.190;  0.949; -0.084; -0.090; -0.751;  0.660
 2.963;  1.747; -0.984; -0.175;  0.178;  0.984; -0.099; -0.092; -0.706;  0.708
