j0; j1; j2; j3; j4; cos(j0); cos(j1); cos(j2); cos(j3); cos(j4); sin(j0); sin(j1); sin(j2); sin(j3); sin(j4); ee_x; ee_y; ee_z; ee_qw; ee_qx; ee_qy; ee_qz
-0.471; -1.568;  1.073; -0.362;  1.608;  0.891;  0.003;  0.478;  0.935; -0.037; -0.454; -1.000;  0.878; -0.354;  0.999; -0.273;  0.005;  0.304;  0.683;  0.570; -0.433;  0.144
-0.503; -1.570;  0.914; -0.386;  1.600;  0.876;  0.000;  0.611;  0.926; -0.029; -0.482; -1.000;  0.792; -0.377;  1.000; -0.297;  0.027;  0.278;  0.674;  0.516; -0.491;  0.196
-0.519; -1.543;  0.817; -0.369;  1.588;  0.868;  0.028;  0.685;  0.933; -0.017; -0.496; -1.000;  0.729; -0.361;  1.000; -0.306;  0.036;  0.272;  0.674;  0.495; -0.509;  0.206
-0.579; -1.507;  0.711; -0.349;  1.580;  0.837;  0.063;  0.758;  0.940; -0.010; -0.547; -0.998;  0.652; -0.342;  1.000; -0.310;  0.059;  0.266;  0.677;  0.463; -0.536;  0.200
-0.626; -1.500;  0.537; -0.321;  1.576;  0.810;  0.071;  0.859;  0.949; -0.006; -0.586; -0.998;  0.511; -0.316;  1.000; -0.321;  0.084;  0.238;  0.668;  0.410; -0.577;  0.230
-0.617; -1.487;  0.310; -0.296;  1.537;  0.815;  0.084;  0.952;  0.957;  0.034; -0.579; -0.996;  0.305; -0.291;  0.999; -0.338;  0.093;  0.198;  0.649;  0.344; -0.616;  0.283
-0.597; -1.464;  0.106; -0.277;  1.467;  0.827;  0.106;  0.994;  0.962;  0.104; -0.562; -0.994;  0.106; -0.274;  0.995; -0.352;  0.095;  0.162;  0.629;  0.278; -0.653;  0.317
-0.584; -1.455; -0.058; -0.239;  1.439;  0.834;  0.116;  0.998;  0.972;  0.131; -0.552; -0.993; -0.058; -0.237;  0.991; -0.356;  0.093;  0.131;  0.607;  0.238; -0.675;  0.346
-0.556; -1.420; -0.215; -0.193;  1.478;  0.849;  0.151;  0.977;  0.981;  0.092; -0.528; -0.989; -0.214; -0.192;  0.996; -0.352;  0.078;  0.112;  0.580;  0.235; -0.676;  0.389
-0.496; -1.339; -0.402; -0.159;  1.514;  0.880;  0.230;  0.920;  0.987;  0.057; -0.476; -0.973; -0.392; -0.158;  0.998; -0.348;  0.052;  0.102;  0.547;  0.242; -0.671;  0.438
