j0; j1; j2; j3; j4; cos(j0); cos(j1); cos(j2); cos(j3); cos(j4); sin(j0); sin(j1); sin(j2); sin(j3); sin(j4); ee_x; ee_y; ee_z; ee_qw; ee_qx; ee_qy; ee_qz
-1.255; -1.590;  1.530;  1.597; -0.751;  0.310; -0.019;  0.040; -0.026;  0.731; -0.951; -1.000;  0.999;  1.000; -0.682;  0.105; -0.056;  0.249;  0.691;  0.167;  0.678; -0.186
-1.470; -1.532;  1.531;  1.554; -0.987;  0.101;  0.039;  0.040;  0.017;  0.551; -0.995; -0.999;  0.999;  1.000; -0.834;  0.107; -0.061;  0.253;  0.689;  0.163;  0.684; -0.175
-1.623; -1.411;  1.523;  1.506; -1.174; -0.052;  0.159;  0.047;  0.065;  0.386; -0.999; -0.987;  0.999;  0.998; -0.922;  0.107; -0.071;  0.254;  0.686;  0.176;  0.691; -0.143
-1.627; -1.261;  1.537;  1.453; -1.300; -0.056;  0.305;  0.034;  0.117;  0.268; -0.998; -0.952;  0.999;  0.993; -0.963;  0.111; -0.077;  0.251;  0.689;  0.171;  0.701; -0.059
-1.603; -1.126;  1.531;  1.368; -1.380; -0.032;  0.430;  0.040;  0.202;  0.189; -0.999; -0.903;  0.999;  0.979; -0.982;  0.115; -0.083;  0.256;  0.693;  0.150;  0.705; -0.007
-1.570; -1.020;  1.502;  1.301; -1.461;  0.001;  0.523;  0.069;  0.266;  0.109; -1.000; -0.852;  0.998;  0.964; -0.994;  0.119; -0.082;  0.263;  0.698;  0.113;  0.706;  0.036
-1.494; -0.936;  1.470;  1.214; -1.582;  0.077;  0.593;  0.101;  0.349; -0.011; -0.997; -0.805;  0.995;  0.937; -1.000;  0.126; -0.070;  0.275;  0.702;  0.032;  0.706;  0.094
-1.422; -0.836;  1.433;  1.107; -1.623;  0.149;  0.670;  0.137;  0.447; -0.052; -0.989; -0.742;  0.991;  0.894; -0.999;  0.132; -0.069;  0.285;  0.700; -0.025;  0.704;  0.119
-1.413; -0.726;  1.409;  1.025; -1.607;  0.157;  0.748;  0.161;  0.519; -0.036; -0.988; -0.664;  0.987;  0.855; -0.999;  0.135; -0.086;  0.287;  0.699; -0.020;  0.705;  0.117
-1.408; -0.665;  1.361;  0.957; -1.590;  0.162;  0.787;  0.208;  0.576; -0.019; -0.987; -0.617;  0.978;  0.818; -1.000;  0.137; -0.094;  0.297;  0.702; -0.035;  0.706;  0.093
-1.391; -0.660;  1.253;  0.935; -1.558;  0.179;  0.790;  0.312;  0.594;  0.013; -0.984; -0.613;  0.950;  0.805; -1.000;  0.138; -0.087;  0.318;  0.706; -0.074;  0.703;  0.044
-1.391; -0.644;  1.098;  0.947; -1.479;  0.179;  0.800;  0.455;  0.584;  0.091; -0.984; -0.600;  0.890;  0.812; -0.996;  0.137; -0.083;  0.343;  0.712; -0.090;  0.696; -0.028
-1.399; -0.611;  0.892;  0.978; -1.396;  0.171;  0.819;  0.628;  0.559;  0.173; -0.985; -0.573;  0.778;  0.829; -0.985;  0.133; -0.075;  0.372;  0.717; -0.107;  0.680; -0.109
-1.441; -0.600;  0.617;  0.997; -1.334;  0.129;  0.825;  0.815;  0.543;  0.235; -0.992; -0.564;  0.579;  0.840; -0.972;  0.124; -0.046;  0.411;  0.714; -0.154;  0.644; -0.227
-1.514; -0.620;  0.328;  0.966; -1.300;  0.057;  0.814;  0.947;  0.569;  0.267; -0.998; -0.581;  0.322;  0.823; -0.964;  0.115;  0.010;  0.445;  0.683; -0.234;  0.584; -0.370
-1.601; -0.677;  0.080;  0.924; -1.313; -0.030;  0.779;  0.997;  0.603;  0.255; -1.000; -0.626;  0.080;  0.798; -0.967;  0.117;  0.083;  0.450;  0.621; -0.332;  0.519; -0.485
-1.601; -0.737; -0.164;  0.881; -1.346; -0.030;  0.741;  0.987;  0.637;  0.222; -1.000; -0.672; -0.164;  0.771; -0.975;  0.122;  0.159;  0.426;  0.540; -0.440;  0.442; -0.565
-1.579; -0.782; -0.418;  0.852; -1.349; -0.009;  0.709;  0.914;  0.659;  0.220; -1.000; -0.705; -0.406;  0.752; -0.976;  0.119;  0.228;  0.386;  0.465; -0.529;  0.341; -0.622
-1.532; -0.852; -0.663;  0.838; -1.350;  0.039;  0.658;  0.788;  0.669;  0.219; -0.999; -0.753; -0.616;  0.743; -0.976;  0.106;  0.286;  0.324;  0.387; -0.605;  0.222; -0.660
-1.449; -0.917; -0.900;  0.783; -1.414;  0.121;  0.608;  0.621;  0.709;  0.156; -0.993; -0.794; -0.783;  0.706; -0.988;  0.080;  0.321;  0.243;  0.282; -0.672;  0.093; -0.678
-1.366; -0.940; -1.112;  0.667; -1.475;  0.203;  0.590;  0.443;  0.786;  0.095; -0.979; -0.808; -0.897;  0.618; -0.995;  0.054;  0.328;  0.172;  0.171; -0.700; -0.040; -0.693
-1.307; -0.979; -1.328;  0.547; -1.515;  0.261;  0.558;  0.241;  0.854;  0.056; -0.965; -0.830; -0.971;  0.520; -0.998;  0.039;  0.314;  0.100;  0.046; -0.688; -0.178; -0.702
-1.306; -1.064; -1.534;  0.458; -1.594;  0.262;  0.485;  0.037;  0.897; -0.023; -0.965; -0.874; -0.999;  0.442; -1.000;  0.051;  0.270;  0.034; -0.114; -0.645; -0.278; -0.702
-1.363; -1.177; -1.619;  0.404; -1.618;  0.207;  0.384; -0.048;  0.920; -0.047; -0.978; -0.923; -0.999;  0.393; -0.999;  0.073;  0.233; -0.007; -0.230; -0.609; -0.333; -0.682
-1.410; -1.299; -1.611;  0.338; -1.601;  0.161;  0.268; -0.040;  0.944; -0.030; -0.987; -0.963; -0.999;  0.331; -1.000;  0.088;  0.208; -0.036; -0.298; -0.586; -0.379; -0.651
-1.426; -1.409; -1.594;  0.243; -1.576;  0.144;  0.162; -0.024;  0.971; -0.005; -0.990; -0.987; -1.000;  0.240; -1.000;  0.095;  0.182; -0.062; -0.354; -0.555; -0.436; -0.614
-1.414; -1.500; -1.583;  0.175; -1.507;  0.156;  0.071; -0.012;  0.985;  0.064; -0.988; -0.997; -1.000;  0.174; -0.998;  0.096;  0.162; -0.086; -0.377; -0.531; -0.499; -0.572
-1.384; -1.587; -1.577;  0.099; -1.432;  0.186; -0.016; -0.007;  0.995;  0.139; -0.983; -1.000; -1.000;  0.099; -0.990;  0.094;  0.141; -0.106; -0.392; -0.504; -0.561; -0.527
-1.350; -1.599; -1.559;  0.023; -1.388;  0.219; -0.028;  0.012;  1.000;  0.181; -0.976; -1.000; -1.000;  0.023; -0.983;  0.091;  0.132; -0.115; -0.398; -0.482; -0.599; -0.501
-1.301; -1.578; -1.513;  0.012; -1.321;  0.267; -0.007;  0.058;  1.000;  0.248; -0.964; -1.000; -0.998;  0.012; -0.969;  0.079;  0.151; -0.120; -0.351; -0.493; -0.616; -0.503
-1.267; -1.519; -1.438;  0.053; -1.204;  0.299;  0.052;  0.132;  0.999;  0.358; -0.954; -0.999; -0.991;  0.053; -0.934;  0.057;  0.193; -0.121; -0.254; -0.538; -0.620; -0.511
-1.210; -1.463; -1.388;  0.127; -1.090;  0.353;  0.108;  0.182;  0.992;  0.462; -0.936; -0.994; -0.983;  0.127; -0.887;  0.025;  0.234; -0.114; -0.143; -0.564; -0.627; -0.518
-1.137; -1.455; -1.363;  0.210; -1.006;  0.420;  0.116;  0.206;  0.978;  0.535; -0.907; -0.993; -0.979;  0.208; -0.845; -0.007;  0.256; -0.111; -0.056; -0.562; -0.644; -0.516
-1.063; -1.468; -1.333;  0.241; -0.907;  0.486;  0.102;  0.235;  0.971;  0.616; -0.874; -0.995; -0.972;  0.239; -0.788; -0.039;  0.264; -0.115;  0.009; -0.545; -0.679; -0.492
-1.005; -1.477; -1.331;  0.235; -0.794;  0.536;  0.094;  0.238;  0.973;  0.701; -0.844; -0.996; -0.971;  0.233; -0.713; -0.063;  0.259; -0.126;  0.048; -0.522; -0.723; -0.450
-0.959; -1.500; -1.366;  0.234; -0.659;  0.575;  0.071;  0.203;  0.973;  0.790; -0.818; -0.998; -0.979;  0.232; -0.613; -0.079;  0.240; -0.146;  0.067; -0.495; -0.775; -0.388
-0.871; -1.530; -1.451;  0.202; -0.480;  0.644;  0.041;  0.120;  0.980;  0.887; -0.765; -0.999; -0.993;  0.201; -0.462; -0.091;  0.193; -0.176;  0.061; -0.442; -0.848; -0.286
-0.755; -1.576; -1.554;  0.131; -0.306;  0.728; -0.005;  0.017;  0.991;  0.954; -0.686; -1.000; -1.000;  0.131; -0.301; -0.080;  0.125; -0.203;  0.009; -0.374; -0.912; -0.167
-0.614; -1.596; -1.597;  0.058; -0.118;  0.818; -0.025; -0.026;  0.998;  0.993; -0.576; -1.000; -1.000;  0.058; -0.117; -0.078;  0.072; -0.212; -0.016; -0.302; -0.952; -0.057
-0.467; -1.589; -1.569; -0.001;  0.076;  0.893; -0.018;  0.001;  1.000;  0.997; -0.450; -1.000; -1.000; -0.001;  0.076; -0.097;  0.039; -0.212;  0.000; -0.232; -0.972;  0.039
-0.365; -1.559; -1.509; -0.039;  0.255;  0.934;  0.011;  0.061;  0.999;  0.968; -0.357; -1.000; -0.998; -0.039;  0.252; -0.128;  0.017; -0.204;  0.040; -0.178; -0.976;  0.122
-0.273; -1.489; -1.447; -0.074;  0.467;  0.963;  0.082;  0.124;  0.997;  0.893; -0.269; -0.997; -0.992; -0.074;  0.450; -0.170; -0.009; -0.184;  0.095; -0.117; -0.964;  0.220
-0.157; -1.406; -1.397; -0.153;  0.677;  0.988;  0.164;  0.173;  0.988;  0.779; -0.157; -0.986; -0.985; -0.153;  0.627; -0.193; -0.046; -0.156;  0.113; -0.043; -0.939;  0.323
-0.044; -1.302; -1.375; -0.287;  0.833;  0.999;  0.266;  0.195;  0.959;  0.673; -0.044; -0.964; -0.981; -0.283;  0.740; -0.194; -0.080; -0.127;  0.090;  0.016; -0.911;  0.401
 0.041; -1.158; -1.330; -0.421;  0.937;  0.999;  0.402;  0.239;  0.913;  0.592;  0.041; -0.916; -0.971; -0.408;  0.806; -0.207; -0.105; -0.089;  0.095;  0.071; -0.885;  0.450
 0.071; -0.998; -1.246; -0.560;  0.996;  0.998;  0.542;  0.319;  0.847;  0.543;  0.071; -0.840; -0.948; -0.531;  0.839; -0.230; -0.117; -0.044;  0.131;  0.111; -0.863;  0.476
 0.090; -0.846; -1.160; -0.753;  1.047;  0.996;  0.663;  0.400;  0.730;  0.500;  0.089; -0.749; -0.917; -0.684;  0.866; -0.237; -0.126; -0.001;  0.143;  0.133; -0.845;  0.498
 0.146; -0.738; -1.065; -0.980;  1.093;  0.989;  0.740;  0.484;  0.557;  0.460;  0.146; -0.673; -0.875; -0.830;  0.888; -0.223; -0.140;  0.032;  0.115;  0.154; -0.832;  0.521
 0.224; -0.621; -1.003; -1.212;  1.076;  0.975;  0.813;  0.537;  0.351;  0.475;  0.222; -0.582; -0.843; -0.936;  0.880; -0.196; -0.153;  0.055;  0.073;  0.172; -0.835;  0.518
 0.335; -0.439; -0.983; -1.450;  1.013;  0.944;  0.905;  0.555;  0.121;  0.529;  0.329; -0.425; -0.832; -0.993;  0.848; -0.158; -0.163;  0.079;  0.036;  0.209; -0.843;  0.494
 0.517; -0.265; -0.999; -1.642;  0.956;  0.869;  0.965;  0.542; -0.071;  0.577;  0.494; -0.262; -0.841; -0.997;  0.817; -0.104; -0.172;  0.095; -0.020;  0.276; -0.839;  0.468
 0.697; -0.134; -1.070; -1.647;  0.885;  0.767;  0.991;  0.480; -0.077;  0.633;  0.642; -0.134; -0.877; -0.997;  0.774; -0.072; -0.181;  0.100; -0.023;  0.363; -0.820;  0.443
 0.868;  0.006; -1.134; -1.618;  0.752;  0.646;  1.000;  0.423; -0.047;  0.731;  0.763;  0.006; -0.906; -0.999;  0.683; -0.052; -0.188;  0.105;  0.014;  0.449; -0.797;  0.403
 1.054;  0.136; -1.164; -1.593;  0.604;  0.494;  0.991;  0.396; -0.022;  0.823;  0.869;  0.136; -0.918; -1.000;  0.568; -0.033; -0.195;  0.115;  0.068;  0.530; -0.759;  0.372
 1.190;  0.201; -1.192; -1.579;  0.481;  0.371;  0.980;  0.370; -0.009;  0.886;  0.929;  0.200; -0.929; -1.000;  0.463; -0.019; -0.197;  0.117;  0.099;  0.578; -0.734;  0.343
 1.264;  0.219; -1.236; -1.551;  0.335;  0.302;  0.976;  0.329;  0.020;  0.944;  0.953;  0.218; -0.944; -1.000;  0.329; -0.021; -0.196;  0.109;  0.131;  0.597; -0.735;  0.294
 1.331;  0.238; -1.294; -1.497;  0.149;  0.237;  0.972;  0.273;  0.074;  0.989;  0.971;  0.235; -0.962; -0.997;  0.149; -0.030; -0.198;  0.102;  0.183;  0.606; -0.737;  0.235
 1.431;  0.237; -1.385; -1.473; -0.063;  0.139;  0.972;  0.185;  0.098;  0.998;  0.990;  0.235; -0.983; -0.995; -0.063; -0.034; -0.188;  0.083;  0.214;  0.628; -0.734;  0.146
 1.546;  0.216; -1.539; -1.514; -0.324;  0.024;  0.977;  0.032;  0.057;  0.948;  1.000;  0.214; -0.999; -0.998; -0.319; -0.042; -0.151;  0.051;  0.219;  0.664; -0.715; -0.010
 1.603;  0.182; -1.628; -1.567; -0.612; -0.033;  0.984; -0.057;  0.004;  0.818;  0.999;  0.181; -0.998; -1.000; -0.575; -0.065; -0.118;  0.045;  0.257;  0.672; -0.674; -0.166
 1.599;  0.126; -1.617; -1.583; -0.854; -0.028;  0.992; -0.046; -0.012;  0.657;  1.000;  0.126; -0.999; -1.000; -0.754; -0.087; -0.111;  0.059;  0.318;  0.643; -0.644; -0.267
 1.555;  0.037; -1.598; -1.577; -1.042;  0.016;  0.999; -0.027; -0.007;  0.504;  1.000;  0.037; -1.000; -1.000; -0.864; -0.105; -0.105;  0.071;  0.350;  0.608; -0.619; -0.354
 1.511; -0.113; -1.585; -1.572; -1.208;  0.059;  0.994; -0.014; -0.001;  0.354;  0.998; -0.113; -1.000; -1.000; -0.935; -0.118; -0.095;  0.074;  0.350;  0.590; -0.573; -0.449
 1.477; -0.259; -1.570; -1.572; -1.363;  0.094;  0.967;  0.001; -0.001;  0.207;  0.996; -0.256; -1.000; -1.000; -0.978; -0.126; -0.087;  0.078;  0.346;  0.579; -0.515; -0.529
 1.434; -0.388; -1.532; -1.572; -1.526;  0.137;  0.926;  0.039; -0.001;  0.045;  0.991; -0.379; -0.999; -1.000; -0.999; -0.133; -0.086;  0.086;  0.352;  0.559; -0.457; -0.596
 1.434; -0.559; -1.462; -1.569; -1.638;  0.136;  0.848;  0.108;  0.002; -0.067;  0.991; -0.530; -0.994; -1.000; -0.998; -0.134; -0.094;  0.085;  0.355;  0.559; -0.393; -0.638
 1.495; -0.720; -1.374; -1.525; -1.631;  0.076;  0.752;  0.195;  0.045; -0.060;  0.997; -0.660; -0.981; -0.999; -0.998; -0.128; -0.109;  0.067;  0.362;  0.579; -0.371; -0.629
 1.582; -0.833; -1.300; -1.433; -1.597; -0.012;  0.673;  0.268;  0.138; -0.026;  1.000; -0.740; -0.963; -0.990; -1.000; -0.118; -0.130;  0.048;  0.395;  0.591; -0.373; -0.597
 1.604; -0.926; -1.277; -1.323; -1.519; -0.033;  0.601;  0.289;  0.246;  0.052;  0.999; -0.799; -0.957; -0.969; -0.999; -0.115; -0.135;  0.024;  0.390;  0.603; -0.400; -0.569
 1.591; -1.001; -1.314; -1.233; -1.381; -0.020;  0.539;  0.254;  0.331;  0.188;  1.000; -0.842; -0.967; -0.943; -0.982; -0.115; -0.121; -0.007;  0.337;  0.629; -0.437; -0.548
 1.533; -1.056; -1.411; -1.134; -1.236;  0.038;  0.492;  0.159;  0.423;  0.328;  0.999; -0.871; -0.987; -0.906; -0.945; -0.117; -0.092; -0.035;  0.258;  0.645; -0.480; -0.535
 1.403; -1.082; -1.557; -0.971; -1.101;  0.167;  0.470;  0.013;  0.564;  0.452;  0.986; -0.883; -1.000; -0.826; -0.892; -0.118; -0.055; -0.061;  0.177;  0.628; -0.555; -0.516
 1.206; -1.054; -1.630; -0.784; -0.983;  0.356;  0.495; -0.059;  0.708;  0.554;  0.934; -0.869; -0.998; -0.706; -0.832; -0.124; -0.044; -0.081;  0.145;  0.557; -0.672; -0.465
 0.958; -1.000; -1.617; -0.623; -0.911;  0.575;  0.540; -0.046;  0.812;  0.613;  0.818; -0.842; -0.999; -0.583; -0.790; -0.152; -0.051; -0.089;  0.163;  0.433; -0.786; -0.410
 0.734; -0.967; -1.598; -0.493; -0.836;  0.743;  0.568; -0.027;  0.881;  0.670;  0.670; -0.823; -1.000; -0.473; -0.742; -0.184; -0.046; -0.090;  0.181;  0.312; -0.858; -0.365
 0.550; -0.935; -1.571; -0.361; -0.727;  0.852;  0.594;  0.000;  0.936;  0.747;  0.523; -0.804; -1.000; -0.353; -0.665; -0.220; -0.042; -0.085;  0.219;  0.204; -0.904; -0.304
 0.369; -0.859; -1.534; -0.254; -0.611;  0.933;  0.653;  0.036;  0.968;  0.819;  0.361; -0.757; -0.999; -0.251; -0.574; -0.267; -0.029; -0.062;  0.283;  0.098; -0.923; -0.244
 0.209; -0.758; -1.501; -0.175; -0.506;  0.978;  0.726;  0.069;  0.985;  0.875;  0.207; -0.688; -0.998; -0.174; -0.485; -0.309; -0.006; -0.022;  0.358;  0.008; -0.912; -0.199
 0.043; -0.649; -1.444; -0.058; -0.412;  0.999;  0.797;  0.126;  0.998;  0.916;  0.043; -0.605; -0.992; -0.058; -0.400; -0.352;  0.033;  0.044;  0.469; -0.079; -0.863; -0.170
-0.136; -0.513; -1.379;  0.108; -0.343;  0.991;  0.871;  0.190;  0.994;  0.942; -0.136; -0.491; -0.982;  0.108; -0.337; -0.372;  0.092;  0.148;  0.608; -0.159; -0.758; -0.175
-0.320; -0.362; -1.356;  0.266; -0.287;  0.949;  0.935;  0.213;  0.965;  0.959; -0.315; -0.354; -0.977;  0.262; -0.283; -0.347;  0.151;  0.249;  0.715; -0.210; -0.632; -0.212
-0.527; -0.185; -1.355;  0.361; -0.210;  0.864;  0.983;  0.214;  0.936;  0.978; -0.503; -0.184; -0.977;  0.353; -0.208; -0.286;  0.195;  0.335;  0.783; -0.228; -0.511; -0.271
-0.720;  0.013; -1.373;  0.416; -0.096;  0.752;  1.000;  0.196;  0.915;  0.995; -0.659;  0.013; -0.981;  0.404; -0.095; -0.215;  0.204;  0.405;  0.825; -0.200; -0.410; -0.334
-0.876;  0.244; -1.404;  0.448;  0.062;  0.640;  0.970;  0.166;  0.901;  0.998; -0.768;  0.241; -0.986;  0.434;  0.062; -0.152;  0.170;  0.463;  0.853; -0.121; -0.328; -0.387
-1.019;  0.542; -1.433;  0.490;  0.216;  0.525;  0.857;  0.137;  0.882;  0.977; -0.851;  0.516; -0.991;  0.471;  0.214; -0.085;  0.088;  0.512;  0.861; -0.004; -0.224; -0.456
-1.175;  0.899; -1.474;  0.557;  0.381;  0.386;  0.622;  0.097;  0.849;  0.928; -0.923;  0.783; -0.995;  0.529;  0.371; -0.032; -0.038;  0.522;  0.818;  0.153; -0.112; -0.543
-1.300;  1.288; -1.510;  0.591;  0.600;  0.267;  0.279;  0.060;  0.830;  0.826; -0.964;  0.960; -0.998;  0.557;  0.564; -0.023; -0.171;  0.473;  0.715;  0.337; -0.036; -0.612
-1.400;  1.634; -1.512;  0.599;  0.852;  0.170; -0.063;  0.059;  0.826;  0.658; -0.985;  0.998; -0.998;  0.564;  0.753; -0.048; -0.250;  0.395;  0.570;  0.492; -0.022; -0.658
-1.493;  1.677; -1.450;  0.608;  1.128;  0.078; -0.106;  0.120;  0.821;  0.428; -0.997;  0.994; -0.993;  0.571;  0.904; -0.088; -0.266;  0.341;  0.419;  0.592; -0.079; -0.684
-1.588;  1.641; -1.315;  0.614;  1.401; -0.017; -0.071;  0.253;  0.817;  0.169; -1.000;  0.998; -0.968;  0.576;  0.986; -0.123; -0.252;  0.311;  0.270;  0.650; -0.167; -0.691
-1.617;  1.592; -1.133;  0.636;  1.616; -0.047; -0.021;  0.424;  0.804; -0.045; -0.999;  1.000; -0.906;  0.594;  0.999; -0.133; -0.253;  0.283;  0.145;  0.684; -0.188; -0.690
-1.603;  1.515; -0.920;  0.702;  1.640; -0.033;  0.056;  0.606;  0.764; -0.069; -0.999;  0.998; -0.796;  0.646;  0.998; -0.129; -0.270;  0.261;  0.060;  0.701; -0.133; -0.698
-1.590;  1.445; -0.714;  0.787;  1.596; -0.019;  0.125;  0.756;  0.706; -0.026; -1.000;  0.992; -0.655;  0.708;  1.000; -0.126; -0.292;  0.237;  0.003;  0.707; -0.034; -0.707
-1.581;  1.368; -0.573;  0.852;  1.509; -0.010;  0.202;  0.840;  0.659;  0.062; -1.000;  0.979; -0.542;  0.752;  0.998; -0.123; -0.307;  0.225; -0.009;  0.707;  0.045; -0.705
-1.577;  1.227; -0.460;  0.869;  1.375; -0.006;  0.337;  0.896;  0.645;  0.194; -1.000;  0.941; -0.444;  0.764;  0.981; -0.120; -0.317;  0.242;  0.044;  0.706;  0.090; -0.701
-1.575;  1.059; -0.299;  0.825;  1.222; -0.004;  0.490;  0.956;  0.679;  0.342; -1.000;  0.872; -0.295;  0.734;  0.940; -0.114; -0.327;  0.266;  0.117;  0.697;  0.126; -0.696
-1.538;  0.876; -0.079;  0.779;  1.097;  0.032;  0.640;  0.997;  0.712;  0.456; -0.999;  0.768; -0.078;  0.702;  0.890; -0.096; -0.336;  0.281;  0.175;  0.685;  0.179; -0.684
-1.485;  0.713;  0.174;  0.781;  1.004;  0.085;  0.757;  0.985;  0.710;  0.537; -0.996;  0.654;  0.173;  0.704;  0.844; -0.072; -0.343;  0.270;  0.193;  0.677;  0.260; -0.661
-1.422;  0.552;  0.396;  0.772;  0.929;  0.148;  0.851;  0.923;  0.716;  0.599; -0.989;  0.525;  0.385;  0.698;  0.801; -0.046; -0.342;  0.265;  0.220;  0.664;  0.323; -0.638
-1.361;  0.325;  0.612;  0.731;  0.876;  0.209;  0.948;  0.819;  0.744;  0.640; -0.978;  0.319;  0.574;  0.668;  0.768; -0.024; -0.327;  0.286;  0.275;  0.643;  0.342; -0.627
-1.313;  0.095;  0.840;  0.675;  0.871;  0.255;  0.996;  0.668;  0.781;  0.644; -0.967;  0.095;  0.745;  0.625;  0.765; -0.014; -0.305;  0.302;  0.312;  0.630;  0.339; -0.624
-1.234; -0.088;  1.034;  0.595;  0.870;  0.330;  0.996;  0.511;  0.828;  0.645; -0.944; -0.088;  0.860;  0.561;  0.765;  0.003; -0.287;  0.315;  0.361;  0.612;  0.340; -0.616
-1.118; -0.231;  1.209;  0.477;  0.874;  0.437;  0.973;  0.354;  0.888;  0.642; -0.899; -0.229;  0.935;  0.459;  0.767;  0.029; -0.271;  0.326;  0.424;  0.588;  0.343; -0.598
-0.944; -0.389;  1.345;  0.292;  0.868;  0.586;  0.925;  0.224;  0.958;  0.646; -0.810; -0.379;  0.975;  0.288;  0.763;  0.061; -0.241;  0.361;  0.544;  0.545;  0.317; -0.554
-0.770; -0.569;  1.439;  0.080;  0.865;  0.718;  0.843;  0.131;  0.997;  0.649; -0.696; -0.539;  0.991;  0.080;  0.761;  0.067; -0.192;  0.411;  0.676;  0.501;  0.245; -0.481
-0.647; -0.697;  1.496; -0.147;  0.901;  0.798;  0.767;  0.075;  0.989;  0.621; -0.603; -0.642;  0.997; -0.147;  0.784;  0.041; -0.149;  0.447;  0.764;  0.483;  0.142; -0.403
-0.504; -0.813;  1.550; -0.363;  0.977;  0.876;  0.688;  0.021;  0.935;  0.560; -0.483; -0.726;  1.000; -0.355;  0.829;  0.005; -0.116;  0.462;  0.819;  0.487;  0.044; -0.301
-0.337; -0.952;  1.605; -0.521;  1.074;  0.944;  0.580; -0.034;  0.868;  0.477; -0.331; -0.815;  0.999; -0.497;  0.879; -0.034; -0.100;  0.457;  0.839;  0.513; -0.028; -0.178
-0.198; -1.072;  1.602; -0.641;  1.168;  0.980;  0.478; -0.032;  0.802;  0.392; -0.197; -0.878;  1.000; -0.598;  0.920; -0.079; -0.097;  0.443;  0.832;  0.543; -0.100; -0.052
-0.092; -1.167;  1.590; -0.719;  1.295;  0.996;  0.393; -0.019;  0.753;  0.272; -0.092; -0.919;  1.000; -0.658;  0.962; -0.109; -0.106;  0.420;  0.792;  0.591; -0.145;  0.052
-0.043; -1.231;  1.562; -0.735;  1.432;  0.999;  0.333;  0.009;  0.742;  0.138; -0.043; -0.943;  1.000; -0.671;  0.990; -0.125; -0.114;  0.397;  0.742;  0.640; -0.165;  0.116
-0.016; -1.256;  1.535; -0.681;  1.568;  1.000;  0.310;  0.036;  0.777;  0.003; -0.016; -0.951;  0.999; -0.629;  1.000; -0.121; -0.118;  0.381;  0.695;  0.691; -0.147;  0.135
 0.064; -1.299;  1.549; -0.566;  1.627;  0.998;  0.269;  0.022;  0.844; -0.057;  0.064; -0.963;  1.000; -0.536;  0.998; -0.104; -0.127;  0.374;  0.673;  0.722; -0.084;  0.136
 0.207; -1.362;  1.567; -0.437;  1.601;  0.979;  0.208;  0.004;  0.906; -0.030;  0.205; -0.978;  1.000; -0.424;  1.000; -0.084; -0.140;  0.374;  0.679;  0.717; -0.007;  0.154
 0.338; -1.432;  1.570; -0.356;  1.512;  0.943;  0.138;  0.001;  0.937;  0.058;  0.332; -0.990;  1.000; -0.348;  0.998; -0.074; -0.153;  0.378;  0.700;  0.686;  0.037;  0.195
 0.425; -1.487;  1.578; -0.345;  1.399;  0.911;  0.083; -0.007;  0.941;  0.171;  0.413; -0.997;  1.000; -0.338;  0.985; -0.073; -0.163;  0.385;  0.725;  0.645;  0.040;  0.240
 0.495; -1.506;  1.578; -0.395;  1.291;  0.880;  0.065; -0.007;  0.923;  0.276;  0.475; -0.998;  1.000; -0.385;  0.961; -0.076; -0.172;  0.392;  0.741;  0.607;  0.021;  0.287
 0.552; -1.500;  1.576; -0.490;  1.143;  0.852;  0.071; -0.005;  0.882;  0.415;  0.524; -0.997;  1.000; -0.471;  0.910; -0.086; -0.181;  0.403;  0.762;  0.556; -0.022;  0.331
 0.639; -1.448;  1.575; -0.631;  0.927;  0.802;  0.123; -0.004;  0.807;  0.600;  0.597; -0.992;  1.000; -0.590;  0.800; -0.092; -0.188;  0.421;  0.787;  0.481; -0.076;  0.378
 0.787; -1.400;  1.573; -0.824;  0.672;  0.706;  0.170; -0.003;  0.680;  0.782;  0.708; -0.986;  1.000; -0.734;  0.623; -0.100; -0.206;  0.428;  0.786;  0.404; -0.159;  0.440
 0.950; -1.365;  1.572; -1.008;  0.411;  0.581;  0.204; -0.002;  0.533;  0.917;  0.814; -0.979;  1.000; -0.846;  0.399; -0.104; -0.229;  0.422;  0.765;  0.342; -0.254;  0.483
 1.069; -1.296;  1.537; -1.139;  0.163;  0.481;  0.271;  0.034;  0.418;  0.987;  0.877; -0.962;  0.999; -0.908;  0.162; -0.109; -0.239;  0.417;  0.755;  0.284; -0.335;  0.488
 1.122; -1.175;  1.502; -1.251; -0.062;  0.434;  0.385;  0.069;  0.314;  0.998;  0.901; -0.923;  0.998; -0.949; -0.062; -0.117; -0.225;  0.423;  0.765;  0.213; -0.392;  0.464
 1.118; -1.000;  1.536; -1.385; -0.316;  0.437;  0.540;  0.035;  0.185;  0.950;  0.899; -0.841;  0.999; -0.983; -0.311; -0.125; -0.171;  0.440;  0.797;  0.094; -0.421;  0.423
 1.079; -0.791;  1.577; -1.520; -0.628;  0.472;  0.703; -0.006;  0.051;  0.809;  0.881; -0.711;  1.000; -0.999; -0.588; -0.129; -0.092;  0.448;  0.819; -0.072; -0.441;  0.361
 0.993; -0.569;  1.580; -1.597; -0.989;  0.546;  0.842; -0.009; -0.026;  0.549;  0.838; -0.539;  1.000; -1.000; -0.836; -0.120; -0.000;  0.437;  0.806; -0.280; -0.438;  0.282
